EmployeeId,Gender,First Name,Last Name,Status,Vacancy Type,Rating,Workforce Planning A,Grade Key,Department Key,Division Key,ReasonForLeaving Key,FTE,Birth Date,Join Date,Leave Date
E-00001,Male,Filip,Barnes,Permanent Role,New,On Track,Active,5,6,5,5,1.0,1989-08-12,2011-05-28,2021-09-22
E-00002,Female,Chloe,Chapman,Permanent Role,Replacement,,Active,6,2,3,5,1.0,1980-10-31,2015-12-20,2016-03-08
E-00003,Male,David,Moore,Permanent Role,New,High On Track,Active,6,7,5,1,1.0,1985-05-12,2014-06-06,
E-00004,Male,Ethan,Taylor,Permanent Role,Replacement,On Track,Inactive,4,6,4,4,1.0,1984-05-16,2017-11-29,2019-07-05
E-00005,Male,Thompson,Singh,Permanent Role,New,,Active,6,6,5,5,1.0,1983-08-01,2018-01-06,2023-08-03
E-00006,Female,Sumaya,Higgins,Permanent Role,Replacement,On Track,Active,3,5,4,3,1.0,1980-09-30,2003-07-06,2023-03-08
E-00007,Female,Jessica,Bell,Permanent Role,Replacement,,Active,4,4,3,3,1.0,1972-06-13,2017-02-01,
E-00008,Male,Hassan,Cooper,Permanent Role,Replacement,On Track,Temporary,3,5,5,3,0.5,1987-12-24,2016-04-10,
E-00009,Male,Joseph,Parsons,Permanent Role,Replacement,,Active,5,6,5,3,1.0,2001-06-09,2023-11-16,
E-00010,Female,Ella,Mitchell,Permanent Role,Replacement,On Track,Active,5,7,2,5,1.0,1962-12-24,1998-04-07,2018-01-05
E-00011,Male,Matteo,Chapman,Growth Role,Replacement,,Temporary,4,7,4,6,0.5,1988-07-05,2011-11-01,
E-00012,Female,Imogen,Davies,Permanent Role,Replacement,High On Track,Active,4,6,5,5,1.0,1978-02-11,2015-01-23,
E-00013,Female,Katie,Baker,Permanent Role,Replacement,,Temporary,4,5,5,5,1.0,1978-09-21,2018-09-15,2019-07-31
E-00014,Male,Jamie,Nelson,Permanent Role,New,High On Track,Active,3,5,5,1,1.0,1976-01-20,2002-01-17,2007-06-21
E-00015,Female,Francesca,Zhang,Growth Role,New,High On Track,Active,3,4,4,1,1.0,1979-09-30,2005-12-06,2015-01-09
E-00016,Male,Matthew,Chen,Permanent Role,Replacement,,Active,3,4,5,4,0.5,1984-03-06,2019-02-20,
E-00017,Male,Lewis,Abebe,Permanent Role,Replacement,Under,Temporary,4,6,5,7,1.0,1994-06-22,2021-09-05,
E-00018,Male,Filip,Barker,Growth Role,Replacement,On Track,Active,6,4,3,5,1.0,1967-01-12,2011-03-12,
E-00019,Male,Martin,Cooper,Permanent Role,New,,Temporary,4,2,5,4,1.0,2000-10-27,2024-03-26,
E-00020,Male,Aiden,Chen,Permanent Role,Replacement,,Temporary,3,3,5,7,1.0,1981-10-18,2004-05-20,2021-03-11
E-00021,Female,Ama,Zhang,Permanent Role,Replacement,,Temporary,2,5,5,3,1.0,1976-02-23,2002-03-15,2011-12-21
E-00022,Male,Patryk,Ward,Permanent Role,Replacement,,Inactive,3,3,3,3,1.0,1962-09-04,1984-04-03,2006-03-25
E-00023,Male,Anthony,Green,Permanent Role,Replacement,,Active,4,1,3,5,1.0,1984-08-19,2025-02-18,
E-00024,Male,Archie,Cole,Permanent Role,Replacement,,Temporary,2,1,3,4,0.5,1994-01-29,2023-05-26,
E-00025,Male,Jayden,Bradley,Permanent Role,New,On Track,Active,7,2,5,3,1.0,1993-03-11,2017-09-02,2021-09-20
E-00026,Male,Stephen,Marshall,Permanent Role,Replacement,,Active,4,4,4,3,1.0,1993-09-10,2024-04-28,
E-00027,Female,Sade,Patel,Permanent Role,Replacement,On Track,Temporary,4,6,5,3,1.0,1980-12-03,2008-02-29,
E-00028,Female,Aleksandra,Owen,Permanent Role,Replacement,,Inactive,4,5,5,3,1.0,1982-04-24,2007-08-10,
E-00029,Female,Imani,Lawrence,Permanent Role,Replacement,,Active,2,6,5,4,1.0,1984-02-09,2018-08-02,2023-08-07
E-00030,Female,Jessica,Gibson,Permanent Role,Replacement,On Track,Temporary,4,5,4,3,1.0,2000-11-13,2022-08-01,
E-00031,Male,Michael,Saunders,Permanent Role,Replacement,High On Track,Temporary,4,3,3,5,1.0,1965-05-08,2014-08-27,2021-06-10
E-00032,Male,Michael,Fisher,Growth Role,New,,Temporary,5,3,5,3,1.0,1988-01-03,2022-08-28,
E-00033,Female,Rosie,Shaw,Permanent Role,Replacement,,Temporary,6,4,5,7,1.0,1984-09-11,2005-12-07,2007-11-23
E-00034,Male,Ali,Ndlovu,Permanent Role,Replacement,On Track,Inactive,3,2,5,4,1.0,2001-08-23,2024-08-13,
E-00035,Male,Patryk,Jordan,Growth Role,New,On Track,Active,3,8,4,2,1.0,1991-12-05,2014-12-20,2023-06-01
E-00036,Male,Martin,Cole,Growth Role,Replacement,,Active,3,2,3,5,0.5,1976-11-17,2010-08-12,2010-12-19
E-00037,Female,Tereza,Warren,Permanent Role,Replacement,,Active,4,7,5,1,1.0,1989-10-04,2024-04-29,
E-00038,Female,Millie,Moore,Growth Role,Replacement,,Active,1,5,5,6,1.0,1982-09-28,2025-05-06,
E-00039,Male,Anthony,Stewart,Growth Role,Replacement,On Track,Active,3,3,5,5,1.0,1980-06-05,2009-11-19,2019-05-31
E-00040,Male,Jamie,Harvey,Growth Role,Replacement,On Track,Active,4,5,3,6,1.0,1977-05-03,2021-07-11,
E-00041,Male,Kyle,Fleming,Permanent Role,Replacement,High On Track,Temporary,7,5,5,1,1.0,1967-05-22,1999-08-18,2022-01-01
E-00042,Male,Richard,Newton,Permanent Role,Replacement,On Track,Inactive,4,5,3,3,0.5,1990-05-24,2011-06-19,2012-09-22
E-00043,Female,Katarina,Okafor,Permanent Role,New,On Track,Temporary,7,5,5,1,1.0,1981-06-24,2010-10-11,
E-00044,Male,Charlie,Reed,Permanent Role,Replacement,High On Track,Inactive,5,3,5,3,0.5,1980-02-07,2009-01-09,2018-01-25
E-00045,Male,Hassan,Diallo,Permanent Role,Replacement,On Track,Active,4,6,2,1,1.0,1980-09-05,2001-11-23,2020-03-26
E-00046,Male,Walker,Rowe,Permanent Role,Replacement,On Track,Temporary,3,5,5,1,1.0,1980-06-23,2017-01-22,
E-00047,Female,Madison,Marshall,Permanent Role,Replacement,On Track,Temporary,5,6,3,3,1.0,1963-01-20,1989-09-04,2000-03-11
E-00048,Female,Leah,Curtis,Permanent Role,Replacement,Under,Active,4,4,3,3,1.0,2000-02-23,2021-08-18,
E-00049,Male,Andreas,Lewis,Permanent Role,Replacement,High On Track,Active,3,5,3,1,1.0,1992-05-15,2024-01-23,
E-00050,Male,Smith,Harrison,Growth Role,Replacement,High On Track,Active,1,8,4,5,1.0,1970-10-29,2014-03-29,
E-00051,Male,Callum,Simpson,Permanent Role,Replacement,On Track,Temporary,3,5,5,3,1.0,1985-12-13,2018-04-30,
E-00052,Male,Thompson,Kamau,Permanent Role,Replacement,High On Track,Active,5,6,5,3,1.0,1970-12-22,1992-11-12,2017-05-20
E-00053,Male,Matthew,Frost,Permanent Role,Replacement,,Active,6,4,5,3,1.0,1996-02-04,2023-10-07,
E-00054,Female,Adanna,Okafor,Growth Role,Replacement,Under,Active,5,2,5,3,1.0,1987-10-01,2017-11-16,
E-00055,Male,James,Turner,Permanent Role,Replacement,High On Track,Temporary,3,5,4,5,1.0,1982-09-16,2009-08-01,
E-00056,Male,Mohammed,Stewart,Permanent Role,Replacement,High On Track,Temporary,6,1,5,2,1.0,1973-04-07,2008-01-19,2011-06-28
E-00057,Male,Finley,Stone,Permanent Role,Replacement,High On Track,Inactive,5,1,4,3,1.0,1998-05-19,2023-05-27,
E-00058,Female,Agata,Baldwin,Growth Role,Replacement,High On Track,Temporary,4,3,4,3,0.5,1964-12-12,2011-09-07,2023-06-26
E-00059,Female,Nia,Brown,Growth Role,Replacement,,Inactive,4,3,5,3,1.0,1974-11-07,2005-09-11,2018-08-28
E-00060,Female,Evie,West,Permanent Role,Replacement,High On Track,Inactive,3,3,5,1,1.0,1981-06-03,2019-11-29,
E-00061,Female,Aleksandra,Ford,Permanent Role,Replacement,High On Track,Active,5,3,4,3,1.0,1975-10-15,2024-06-17,
E-00062,Female,Noor,Smith,Growth Role,Replacement,,Temporary,6,6,5,4,1.0,1985-06-23,2015-07-08,2021-12-04
E-00063,Male,Arthur,Graham,Permanent Role,Replacement,On Track,Temporary,3,3,5,1,1.0,1981-01-19,2006-09-17,2024-01-17
E-00064,Male,Samuel,Reid,Permanent Role,New,High On Track,Temporary,6,2,4,3,1.0,1987-09-11,2018-02-06,2024-06-08
E-00065,Male,Samuel,Palmer,Permanent Role,New,,Active,4,3,5,3,1.0,1979-12-24,2022-03-10,
E-00066,Male,Sven,Howard,Permanent Role,Replacement,Under,Temporary,3,5,5,1,1.0,1985-03-31,2023-12-04,
E-00067,Female,Camille,Warren,Permanent Role,Replacement,On Track,Temporary,2,7,5,5,1.0,1986-11-18,2019-11-05,
E-00068,Female,Yasmin,Sanders,Permanent Role,Replacement,,Active,5,7,5,4,1.0,1976-09-06,2014-08-16,
E-00069,Female,Giulia,Lewis,Permanent Role,Replacement,,Active,2,6,4,3,1.0,1994-04-27,2024-09-17,
E-00070,Male,Sebastian,Webb,Permanent Role,Replacement,On Track,Active,5,1,5,7,1.0,1989-10-15,2020-10-26,
E-00071,Male,Stefan,Kelly,Growth Role,Replacement,,Active,3,3,3,1,1.0,1982-06-29,2014-01-25,
E-00072,Male,Patryk,Lane,Permanent Role,New,,Active,3,3,5,5,1.0,1967-08-28,2016-09-14,2023-09-15
E-00073,Male,Joshua,Bradley,Growth Role,Replacement,,Active,5,7,5,3,1.0,1982-07-12,2018-06-27,
E-00074,Male,Joseph,Francis,Growth Role,Replacement,,Temporary,5,4,3,5,1.0,1966-04-07,2022-03-21,2023-06-01
